Date,A,Ae
01/01/1949,1,1
01/04/1949,1.0159878914987766,1.0026069446434844
01/07/1949,1.0281868349731007,1.008600390495194
01/10/1949,1.0317863089884267,0.993309862
01/01/1950,1.0528191647757985,1.0111671352507368
01/04/1950,1.0453394339351645,1.006772042085899
01/07/1950,1.0453599309207224,1.0086537900022603
01/10/1950,1.0470146188562162,0.9968281269437188
01/01/1951,1.0433427852925643,0.9833047396640116
01/04/1951,1.038637449853185,0.9806561248625252
01/07/1951,1.069813920215581,0.9996414681408624
01/10/1951,1.0624509838246623,1.0081526078998917
01/01/1952,1.0527747053832417,1.0284905454196929
01/04/1952,1.0704496778285395,1.0416955900895224
01/07/1952,1.0602048536789666,1.0428808158995233
01/10/1952,1.063046630388338,1.0544628326688363
01/01/1953,1.0879170190799794,1.0553831111896603
01/04/1953,1.1011983575813755,1.0546795370203943
01/07/1953,1.1166560893039723,1.0525708339877513
01/10/1953,1.1250815909593486,1.0623641758570077
01/01/1954,1.1348328602305882,1.087921732
01/04/1954,1.142937287131254,1.0973299579640512
01/07/1954,1.1554132725219828,1.101710753694786
01/10/1954,1.1598947576169756,1.094830668014388
01/01/1955,1.156081132369984,1.079879762116125
01/04/1955,1.157289200272515,1.0629797030060708
01/07/1955,1.1619113382033226,1.056132453338026
01/10/1955,1.144588364906242,1.0451654190952144
01/01/1956,1.1471151062322924,1.036741532474731
01/04/1956,1.1644355258622594,1.044641218553381
01/07/1956,1.1558940447577184,1.0427713138166252
01/10/1956,1.1634898085898606,1.0486950462253453
01/01/1957,1.1775255233312407,1.056197893721479
01/04/1957,1.1937331392691224,1.0584637967508417
01/07/1957,1.2113026094190789,1.0680443473665204
01/10/1957,1.2385729257886415,1.0712690799060742
01/01/1958,1.2388409405691845,1.0611493264094185
01/04/1958,1.2448465461951093,1.071590926975031
01/07/1958,1.245768476011071,1.0799198908731364
01/10/1958,1.2492338696302785,1.0899765988855044
01/01/1959,1.2351370465695404,1.095599406859604
01/04/1959,1.2320847780959974,1.1001162428795832
01/07/1959,1.248935504659721,1.1076539869584774
01/10/1959,1.2569898722585868,1.1000756850223277
01/01/1960,1.2779841796831972,1.0960310732633625
01/04/1960,1.2714836796570164,1.086735620394375
01/07/1960,1.281686801503575,1.0925046240060006
01/10/1960,1.2850762212610174,1.0806359370595413
01/01/1961,1.286735049614806,1.0912258225293117
01/04/1961,1.2952523518499717,1.097649981
01/07/1961,1.306407717480689,1.106129875988187
01/10/1961,1.292971819841358,1.111093219683609
01/01/1962,1.3098771204036703,1.1230251238705824
01/04/1962,1.3026729635092584,1.124751728
01/07/1962,1.3200695234062805,1.1292878993388176
01/10/1962,1.328059448637137,1.1232340395022642
01/01/1963,1.327546131233878,1.1224089032887756
01/04/1963,1.3260549911657518,1.1175216477893817
01/07/1963,1.3520346653379471,1.131513420116032
01/10/1963,1.349105174431967,1.124633991677999
01/01/1964,1.3723668407343097,1.1348670137490129
01/04/1964,1.359169735739866,1.130995262935321
01/07/1964,1.372535201500074,1.138823390512839
01/10/1964,1.3636991425833398,1.1348136441892376
01/01/1965,1.3639494404426933,1.152571328884899
01/04/1965,1.3680524227152036,1.156057441001268
01/07/1965,1.4042512724567042,1.168354607665434
01/10/1965,1.4144501869831667,1.1791585758020613
01/01/1966,1.4283453789925522,1.1863677220977829
01/04/1966,1.4180019241902913,1.1717801345143355
